cik,Bankruptcy,date,sale,ch,invt,ap,act,ebit,gp,oancf,at,re,ni,ebitda,dd1,dltt,lct,Working capital/Total assets,CurrentRatio,Current Assets/Total Assets ,(Current Assets-Inventory)/Tot. Assets,Current Liabilities/Total Assets,EBITDA/Total Sales,Cash/Current Liabilities,Cash/Total Assets,Cash/Total Debt,Long Term Debt/Total Assets,Total Debt/Total Assets,EBITDA/Total Assets,EBIT/Total Assets,Net Income/Total Assets (ROA),Retained Earnings/Total assets,Total Sales/Total Assets,Operating Cash Flow/Total Assets,Operating Cash Flow/Total Sales ,Gross Trading Proﬁt/Total Sales ,EBIT/Total Sales (operating margin),Current Assets/Total Sales,Accounts Payable/Total Sales,Inventory/Total Sales,Cash/Total Sales
1669792,0,2016,1568.259,104.44,210.648,57.374,409.657,209.851,488.494,198.412,1247.011,-314.306,136.28799999999998,274.574,0.274,1078.657,224.693,0.1483258768366919,1.8231854129857183,0.3285111358279919,0.15958880875950573,0.18018525899129997,0.22018570806512533,0.464811987912396,0.08375226842425608,0.09679951729999416,0.8649939735896476,0.8652136989970416,0.22018570806512533,0.16828319878493453,0.10929173840487373,-0.25204749597236914,1.2576144075713849,0.15911006398500094,0.126517367348123,0.3114880896586597,0.13381144313534946,0.2612176942711631,0.03658451824602951,0.13431965000679094,0.0665961426014453
1640313,0,2016,270.811,10.323,18.25,32.582,79.229,70.642,132.55700000000002,-0.8029999999999999,838.24,10.447,27.29300000000001,78.389,6.9270000000000005,585.464,60.036,0.022896783737354456,1.3196915184222802,0.09451827638862377,0.07274646879175414,0.07162149265126933,0.0935161767512884,0.1719468319008595,0.01231508875739645,0.017425990604178657,0.6984443596106128,0.7067081026913534,0.0935161767512884,0.0842741935483871,0.03255988738308839,0.01246301775147929,0.32307095819812937,-0.0009579595342622636,-0.002965167589204279,0.4894815941745351,0.2608535103817792,0.29256197126409195,0.1203126904003161,0.06739017248191544,0.038118835645524006
1431897,0,2012,169.977,4.93,15.147,4.342,48.288,19.95,66.476,8.722999999999999,90.212,-27.278,11.550999999999998,21.015,0.0,7.0070000000000014,16.363,0.3538886179222277,2.951048096314857,0.5352724692945506,0.3673679776526405,0.18138385137232296,0.2329512703409746,0.3012894945914563,0.05464904890701901,0.7035821321535606,0.07767259344654814,0.07767259344654814,0.2329512703409746,0.22114574557708508,0.12804283243914333,-0.3023766239524676,1.8841950073161,0.09669445306611092,0.051318707825176335,0.3910882060514069,0.11736882048747772,0.2840854939197656,0.02554463250910417,0.08911205633703383,0.02900392406031404
1278027,0,2015,967.583,5.246,312.88,49.593,463.161,189.255,314.757,128.47899999999998,2571.715,294.5370000000001,69.09,217.908,33.75,1725.866,134.868,0.12765528062013093,3.4341800871963706,0.1800981057387774,0.05843610197864073,0.0524428251186465,0.08473256173409573,0.03889729216715604,0.0020398838907110623,0.0029813322906816035,0.6710953585447843,0.6842188967284477,0.08473256173409573,0.07359096945034732,0.026865340832868338,0.11452940936301265,0.3762403687811441,0.049958490734782035,0.13278344080042742,0.3253023254852555,0.19559562332120345,0.4786783149352562,0.05125451770029031,0.32336244022476623,0.005421757099907708
1772016,0,2018,827.5,10.9,61.6,57.9,163.7,119.8,280.8,141.2,560.4,657.2859824691359,96.1,145.7,0.0,0.0,94.3,0.12384011420413987,1.7359490986214208,0.2921127765881513,0.18219129193433264,0.16827266238401142,0.25999286224125623,0.11558854718981973,0.019450392576730903,185553.33333333337,0.0,0.0,0.25999286224125623,0.21377587437544607,0.17148465381870093,1.172887192129079,1.4766238401142042,0.25196288365453245,0.17063444108761328,0.3393353474320242,0.14477341389728096,0.1978247734138973,0.06996978851963746,0.07444108761329306,0.013172205438066466
1655210,0,2018,87.934,54.271,30.257,17.247,102.826,-26.474,21.274,-37.721,133.749,-129.672,-29.886,-21.553,0.044,30.464,25.167,0.5806323785598397,4.085747208646244,0.7687982713889451,0.5425760192599572,0.18816589282910529,-0.16114513005704714,2.156435014105773,0.4057675197571571,1.7789104497181063,0.22776992725179254,0.22809890167403124,-0.16114513005704714,-0.1979379285078767,-0.22344839961420274,-0.9695175291030214,0.6574553828439839,-0.2820282768469297,-0.4289694543634999,0.24193144858643986,-0.3010667091227512,1.1693542884436054,0.19613573816726185,0.34408761116291764,0.6171787931857985
1609989,0,2014,917.76,95.788,88.62,33.163000000000004,272.075,186.51,371.727,90.135,387.172,-146.937,101.931,191.37,3.96,387.097,64.13600000000001,0.537071379128656,4.24215729075714,0.7027238539977064,0.4738333350552209,0.1656524748690505,0.4942764456107364,1.4935137832106766,0.2474042544398872,0.24494638888959924,0.9998062876447678,1.010034300001033,0.4942764456107364,0.4817238849916833,0.2632705877491141,-0.37951349787691263,2.3704193485066067,0.23280350851817802,0.09821195083682008,0.40503726464435147,0.20322306485355648,0.296455500348675,0.03613471931659694,0.09656119246861926,0.10437151324965133
1331301,0,2009,239.503,7.5379999999999985,5.812,8.374,31.36,11.81,120.434,18.204,565.065,-82.46600000000002,3.466,16.715,5.5,51.143,28.126,0.005723235380000535,1.1149825783972127,0.05549804004848999,0.045212497677258365,0.049774804668489464,0.02958066771079433,0.26800824859560546,0.013340058223390223,0.13307910951044258,0.09050817162627307,0.10024156512967533,0.02958066771079433,0.020900250413669226,0.006133807615053135,-0.14594073248210385,0.4238503534991549,0.03221576278835178,0.07600739865471415,0.5028496511525952,0.04931044705076763,0.13093781706283428,0.034964071431255565,0.024266919412282942,0.03147350972639173
16732,0,2017,7890.0,319.0,902.0,666.0,1900.0,1677.0,3362.0,1291.0,7726.0,2332.0,887.0,1995.0,1.0,2499.0,2395.0,-0.06406937613253948,0.7933194154488518,0.24592285788247475,0.12917421692984726,0.30999223401501425,0.2582190007765985,0.13319415448851776,0.04128915350763655,0.1276,0.32345327465700235,0.3235827077400984,0.2582190007765985,0.217059280352058,0.1148071447061869,0.3018379497799637,1.0212270256277505,0.1670981102769868,0.16362484157160964,0.4261089987325729,0.21254752851711026,0.24081115335868186,0.0844106463878327,0.11432192648922687,0.04043092522179975
23217,0,2012,15491.4,183.9,2394.1,1501.6,4379.8,1619.9,4041.5,1412.2,20405.3,4933.4,773.9,2065.1,517.9,8886.9,3401.3,0.04795322783786565,1.2876841207773495,0.21464031403605927,0.09731295300730694,0.1666870861981936,0.1012040989350806,0.05406756240261077,0.009012364434730193,0.01955384484518544,0.4355192033442292,0.4608998642509544,0.1012040989350806,0.07938623788917586,0.03792642107687708,0.2417705204040127,0.7591851136714481,0.06920750981362686,0.09116025665853313,0.2608866855158346,0.10456769562466918,0.2827246084924539,0.09693120053707216,0.15454381140503762,0.011871102676323636
1128928,0,2011,2773.356,7.782999999999999,113.72,115.138,378.57,199.68,1302.904,134.29,1553.9979999999994,435.95,123.428,294.318,42.768,283.406,268.41900000000004,0.07088233060789009,1.4103696087087725,0.24361035213687546,0.17043136477653134,0.17272802152898534,0.18939406614422932,0.028995711927993162,0.00500837195414666,0.023861497237670688,0.18237217808517134,0.209893449026318,0.18939406614422932,0.1284943738666331,0.07942609964748992,0.2805344665823252,1.7846586675143732,0.08641581263296352,0.04842147924752538,0.469793275728035,0.07199941154327105,0.1365024901238788,0.04151576645767799,0.041004472559599284,0.002806347255815697
